sentimen,tweet,remove_unrelevant_emoji,emojis,tweet_clean,tweet_proc_punct,tweet_no_punct,tweet_no_sc,tweet_lowercase,tweet_no_slang,tweet_no_sw,tweet_no_number,tweet_no_extra_spaces,tweet_lem,final_tweet,tweet_tokenization
positif,"Prabowo Sandi siap bekerja mengabdi pd Rakyat, ini dibuktikan beliau tidak akan menerima gaji serupiahpun..","Prabowo Sandi siap bekerja mengabdi pd Rakyat, ini dibuktikan beliau tidak akan menerima gaji serupiahpun..",,"Prabowo Sandi siap bekerja mengabdi pd Rakyat, ini dibuktikan beliau tidak akan menerima gaji serupiahpun..","Prabowo Sandi siap bekerja mengabdi pd Rakyat, ini dibuktikan beliau tidak akan menerima gaji serupiahpun..",Prabowo Sandi siap bekerja mengabdi pd Rakyat  ini dibuktikan beliau tidak akan menerima gaji serupiahpun  ,Prabowo Sandi siap bekerja mengabdi pd Rakyat  ini dibuktikan beliau tidak akan menerima gaji serupiahpun  ,prabowo sandi siap bekerja mengabdi pd rakyat  ini dibuktikan beliau tidak akan menerima gaji serupiahpun  ,prabowo sandiaga siap bekerja mengabdi pada rakyat  ini dibuktikan beliau tidak akan menerima gaji serupiahpun  ,prabowo sandiaga mengabdi rakyat dibuktikan beliau tidak menerima gaji serupiahpun,prabowo sandiaga mengabdi rakyat dibuktikan beliau tidak menerima gaji serupiahpun,prabowo sandiaga mengabdi rakyat dibuktikan beliau tidak menerima gaji serupiahpun,prabowo sandiaga abdi rakyat bukti beliau tidak terima gaji rupiah,prabowo sandiaga abdi rakyat bukti beliau tidak terima gaji rupiah ,"['prabowo', 'sandiaga', 'abdi', 'rakyat', 'bukti', 'beliau', 'tidak', 'terima', 'gaji', 'rupiah']"
negatif,"Menyusun sendi ekonomi itu dari yg kecil dulu mikro, jgn bicara makro, pembangunan jor-joran infastuktur tanpa mempedulikan usaha mikro sama aja bohong, ujung2 nya Import, dan ini yg tidak dilakukan Jokowi selama 4.5 tahun","Menyusun sendi ekonomi itu dari yg kecil dulu mikro, jgn bicara makro, pembangunan jor-joran infastuktur tanpa mempedulikan usaha mikro sama aja bohong, ujung2 nya Import, dan ini yg tidak dilakukan Jokowi selama 4.5 tahun",,"Menyusun sendi ekonomi itu dari yg kecil dulu mikro, jgn bicara makro, pembangunan jor-joran infastuktur tanpa mempedulikan usaha mikro sama aja bohong, ujung2 nya Import, dan ini yg tidak dilakukan Jokowi selama 4.5 tahun","Menyusun sendi ekonomi itu dari yg kecil dulu mikro, jgn bicara makro, pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro sama aja bohong, ujung2 nya Import, dan ini yg tidak dilakukan Jokowi selama 4.5 tahun",Menyusun sendi ekonomi itu dari yg kecil dulu mikro  jgn bicara makro  pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro sama aja bohong  ujung2 nya Import  dan ini yg tidak dilakukan Jokowi selama 4 5 tahun,Menyusun sendi ekonomi itu dari yg kecil dulu mikro  jgn bicara makro  pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro sama aja bohong  ujung2 nya Import  dan ini yg tidak dilakukan Jokowi selama 4 5 tahun,menyusun sendi ekonomi itu dari yg kecil dulu mikro  jgn bicara makro  pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro sama aja bohong  ujung2 nya import  dan ini yg tidak dilakukan jokowi selama 4 5 tahun,menyusun sendi ekonomi itu dari yang kecil dulu mikro  jangan bicara makro  pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro sama saja bohong  ujung ujung nya impor  dan ini yang tidak dilakukan jokowi selama 4 5 tahun,menyusun sendi ekonomi mikro bicara makro pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro bohong ujung ujung impor tidak jokowi 4 5,menyusun sendi ekonomi mikro bicara makro pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro bohong ujung ujung impor tidak jokowi  ,menyusun sendi ekonomi mikro bicara makro pembangunan jorjoran infastuktur tanpa mempedulikan usaha mikro bohong ujung ujung impor tidak jokowi,susun sendi ekonomi mikro bicara makro bangun jorjoran infastuktur tanpa mempedulikan usaha mikro bohong ujung ujung impor tidak jokowi,susun sendi ekonomi mikro bicara makro bangun jorjoran infastuktur tanpa mempedulikan usaha mikro bohong ujung ujung impor tidak jokowi ,"['susun', 'sendi', 'ekonomi', 'mikro', 'bicara', 'makro', 'bangun', 'jorjoran', 'infastuktur', 'tanpa', 'mempedulikan', 'usaha', 'mikro', 'bohong', 'ujung', 'ujung', 'impor', 'tidak', 'jokowi']"
positif,"kenapa jokowi berani naikin anggaran infra besar2an, karena anggaran subsidi energi turun besar2an juga, harga minyak dunia sedang turun saat jokowi memimpin, saat yg tepat buat gak manjain rakyat, tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra.","kenapa jokowi berani naikin anggaran infra besar2an, karena anggaran subsidi energi turun besar2an juga, harga minyak dunia sedang turun saat jokowi memimpin, saat yg tepat buat gak manjain rakyat, tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra.",,"kenapa jokowi berani naikin anggaran infra besar2an, karena anggaran subsidi energi turun besar2an juga, harga minyak dunia sedang turun saat jokowi memimpin, saat yg tepat buat gak manjain rakyat, tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra.","kenapa jokowi berani naikin anggaran infra besar2an, karena anggaran subsidi energi turun besar2an juga, harga minyak dunia sedang turun saat jokowi memimpin, saat yg tepat buat gak manjain rakyat, tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra.",kenapa jokowi berani naikin anggaran infra besar2an  karena anggaran subsidi energi turun besar2an juga  harga minyak dunia sedang turun saat jokowi memimpin  saat yg tepat buat gak manjain rakyat  tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra ,kenapa jokowi berani naikin anggaran infra besar2an  karena anggaran subsidi energi turun besar2an juga  harga minyak dunia sedang turun saat jokowi memimpin  saat yg tepat buat gak manjain rakyat  tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra ,kenapa jokowi berani naikin anggaran infra besar2an  karena anggaran subsidi energi turun besar2an juga  harga minyak dunia sedang turun saat jokowi memimpin  saat yg tepat buat gak manjain rakyat  tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra ,kenapa jokowi berani naikan anggaran infra besar besaran  karena anggaran subsidi energi turun besar besaran juga  harga minyak dunia sedang turun saat jokowi memimpin  saat yang tepat buat tidak manjakan rakyat  tanpa anggaran subsidi energi yang turun jokowi mustahil bisa naikan anggaran infra ,jokowi berani naikan anggaran infra besaran anggaran subsidi energi turun besaran harga minyak dunia turun jokowi memimpin tidak manjakan rakyat tanpa anggaran subsidi energi turun jokowi mustahil bisa naikan anggaran infra,jokowi berani naikan anggaran infra besaran anggaran subsidi energi turun besaran harga minyak dunia turun jokowi memimpin tidak manjakan rakyat tanpa anggaran subsidi energi turun jokowi mustahil bisa naikan anggaran infra,jokowi berani naikan anggaran infra besaran anggaran subsidi energi turun besaran harga minyak dunia turun jokowi memimpin tidak manjakan rakyat tanpa anggaran subsidi energi turun jokowi mustahil bisa naikan anggaran infra,jokowi berani naik anggar infra besar anggar subsidi energi turun besar harga minyak dunia turun jokowi pimpin tidak manja rakyat tanpa anggar subsidi energi turun jokowi mustahil bisa naik anggar infra,jokowi berani naik anggar infra besar anggar subsidi energi turun besar harga minyak dunia turun jokowi pimpin tidak manja rakyat tanpa anggar subsidi energi turun jokowi mustahil bisa naik anggar infra ,"['jokowi', 'berani', 'naik', 'anggar', 'infra', 'besar', 'anggar', 'subsidi', 'energi', 'turun', 'besar', 'harga', 'minyak', 'dunia', 'turun', 'jokowi', 'pimpin', 'tidak', 'manja', 'rakyat', 'tanpa', 'anggar', 'subsidi', 'energi', 'turun', 'jokowi', 'mustahil', 'bisa', 'naik', 'anggar', 'infra']"
negatif,"Prabowo itu ngaku nasionalis tapi salah kaprah, ngomong kegedean mo korban jiwa raga segala, tapi selama ini dia sendiri diam di rumah mewah, dengan kuda-kuda mahal, punya karyawan yang gajinya gak dibayar2   Patriot ndasmulah","Prabowo itu ngaku nasionalis tapi salah kaprah, ngomong kegedean mo korban jiwa raga segala, tapi selama ini dia sendiri diam di rumah mewah, dengan kuda-kuda mahal, punya karyawan yang gajinya gak dibayar2   Patriot ndasmulah",,"Prabowo itu ngaku nasionalis tapi salah kaprah, ngomong kegedean mo korban jiwa raga segala, tapi selama ini dia sendiri diam di rumah mewah, dengan kuda-kuda mahal, punya karyawan yang gajinya gak dibayar2   Patriot ndasmulah","Prabowo itu ngaku nasionalis tapi salah kaprah, ngomong kegedean mo korban jiwa raga segala, tapi selama ini dia sendiri diam di rumah mewah, dengan kudakuda mahal, punya karyawan yang gajinya gak dibayar2   Patriot ndasmulah",Prabowo itu ngaku nasionalis tapi salah kaprah  ngomong kegedean mo korban jiwa raga segala  tapi selama ini dia sendiri diam di rumah mewah  dengan kudakuda mahal  punya karyawan yang gajinya gak dibayar2   Patriot ndasmulah,Prabowo itu ngaku nasionalis tapi salah kaprah  ngomong kegedean mo korban jiwa raga segala  tapi selama ini dia sendiri diam di rumah mewah  dengan kudakuda mahal  punya karyawan yang gajinya gak dibayar2   Patriot ndasmulah,prabowo itu ngaku nasionalis tapi salah kaprah  ngomong kegedean mo korban jiwa raga segala  tapi selama ini dia sendiri diam di rumah mewah  dengan kudakuda mahal  punya karyawan yang gajinya gak dibayar2   patriot ndasmulah,prabowo itu mengaku nasionalis tapi salah kaprah  bicara kegedean mau korban jiwa raga segala  tapi selama ini dia sendiri diam di rumah mewah  dengan kudakuda mahal  punya karyawan yang gajinya tidak dibayar2   patriot ndasmulah,prabowo mengaku nasionalis salah kaprah bicara kegedean korban jiwa raga diam rumah mewah kudakuda mahal karyawan gajinya tidak dibayar2 patriot ndasmulah,prabowo mengaku nasionalis salah kaprah bicara kegedean korban jiwa raga diam rumah mewah kudakuda mahal karyawan gajinya tidak dibayar2 patriot ndasmulah,prabowo mengaku nasionalis salah kaprah bicara kegedean korban jiwa raga diam rumah mewah kudakuda mahal karyawan gajinya tidak dibayar2 patriot ndasmulah,prabowo aku nasionalis salah kaprah bicara gede korban jiwa raga diam rumah mewah kudakuda mahal karyawan gaji tidak dibayar2 patriot ndasmulah,prabowo aku nasionalis salah kaprah bicara gede korban jiwa raga diam rumah mewah kudakuda mahal karyawan gaji tidak dibayar2 patriot ndasmulah ,"['prabowo', 'aku', 'nasionalis', 'salah', 'kaprah', 'bicara', 'gede', 'korban', 'jiwa', 'raga', 'diam', 'rumah', 'mewah', 'kudakuda', 'mahal', 'karyawan', 'gaji', 'tidak', 'dibayar2', 'patriot', 'ndasmulah']"
netral,Sandi : TPS (Tusuk Prabowo Sandi) dan Tidak Akan Mengambil Gaji Serupiah-pun..Di dunia cuma ada 5 Kepala negara yg tidak mau di gaji..Prabowo-Sandi yg ke-6 dan satu2-nya di Asia Tenggara..,Sandi : TPS (Tusuk Prabowo Sandi) dan Tidak Akan Mengambil Gaji Serupiah-pun..Di dunia cuma ada 5 Kepala negara yg tidak mau di gaji..Prabowo-Sandi yg ke-6 dan satu2-nya di Asia Tenggara..,,Sandi : TPS (Tusuk Prabowo Sandi) dan Tidak Akan Mengambil Gaji Serupiah-pun..Di dunia cuma ada 5 Kepala negara yg tidak mau di gaji..Prabowo-Sandi yg ke-6 dan satu2-nya di Asia Tenggara..,Sandi : TPS (Tusuk Prabowo Sandi) dan Tidak Akan Mengambil Gaji Serupiahpun..Di dunia cuma ada 5 Kepala negara yg tidak mau di gaji..PrabowoSandi yg ke6 dan satu2nya di Asia Tenggara..,Sandi   TPS  Tusuk Prabowo Sandi  dan Tidak Akan Mengambil Gaji Serupiahpun  Di dunia cuma ada 5 Kepala negara yg tidak mau di gaji  PrabowoSandi yg ke6 dan satu2nya di Asia Tenggara  ,Sandi   TPS  Tusuk Prabowo Sandi  dan Tidak Akan Mengambil Gaji Serupiahpun  Di dunia cuma ada 5 Kepala negara yg tidak mau di gaji  PrabowoSandi yg ke6 dan satu2nya di Asia Tenggara  ,sandi   tps  tusuk prabowo sandi  dan tidak akan mengambil gaji serupiahpun  di dunia cuma ada 5 kepala negara yg tidak mau di gaji  prabowosandi yg ke6 dan satu2nya di asia tenggara  ,sandiaga   tempat pemungutan suara  tusuk prabowo sandiaga  dan tidak akan mengambil gaji serupiahpun  di dunia cuma ada 5 kepala negara yang tidak mau di gaji  prabowo sandiaga yang ke6 dan satu satunya di asia tenggara  ,sandiaga pemungutan suara tusuk prabowo sandiaga tidak mengambil gaji serupiahpun dunia 5 kepala negara tidak gaji prabowo sandiaga ke6 satunya asia tenggara,sandiaga pemungutan suara tusuk prabowo sandiaga tidak mengambil gaji serupiahpun dunia  kepala negara tidak gaji prabowo sandiaga ke6 satunya asia tenggara,sandiaga pemungutan suara tusuk prabowo sandiaga tidak mengambil gaji serupiahpun dunia kepala negara tidak gaji prabowo sandiaga ke6 satunya asia tenggara,sandiaga pungut suara tusuk prabowo sandiaga tidak ambil gaji rupiah dunia kepala negara tidak gaji prabowo sandiaga ke6 satu asia tenggara,sandiaga pungut suara tusuk prabowo sandiaga tidak ambil gaji rupiah dunia kepala negara tidak gaji prabowo sandiaga ke6 satu asia tenggara ,"['sandiaga', 'pungut', 'suara', 'tusuk', 'prabowo', 'sandiaga', 'tidak', 'ambil', 'gaji', 'rupiah', 'dunia', 'kepala', 'negara', 'tidak', 'gaji', 'prabowo', 'sandiaga', 'ke6', 'satu', 'asia', 'tenggara']"
negatif,"PKS mau bebasin pajak kendaraan, tapi capres nya pengen naikin tax ratio. Pajak mana yg bakal dikorbankan untuk nutupin pembebasan pajak kendaraan ??","PKS mau bebasin pajak kendaraan, tapi capres nya pengen naikin tax ratio. Pajak mana yg bakal dikorbankan untuk nutupin pembebasan pajak kendaraan ??",,"PKS mau bebasin pajak kendaraan, tapi capres nya pengen naikin tax ratio. Pajak mana yg bakal dikorbankan untuk nutupin pembebasan pajak kendaraan ??","PKS mau bebasin pajak kendaraan, tapi capres nya pengen naikin tax ratio. Pajak mana yg bakal dikorbankan untuk nutupin pembebasan pajak kendaraan ??",PKS mau bebasin pajak kendaraan  tapi capres nya pengen naikin tax ratio  Pajak mana yg bakal dikorbankan untuk nutupin pembebasan pajak kendaraan   ,PKS mau bebasin pajak kendaraan  tapi capres nya pengen naikin tax ratio  Pajak mana yg bakal dikorbankan untuk nutupin pembebasan pajak kendaraan   ,pks mau bebasin pajak kendaraan  tapi capres nya pengen naikin tax ratio  pajak mana yg bakal dikorbankan untuk nutupin pembebasan pajak kendaraan   ,partai keadilan sejahtera mau bebasin pajak kendaraan  tapi calon presiden nya ingin naikan tax ratio  pajak mana yang bakal dikorbankan untuk menutupi pembebasan pajak kendaraan   ,partai keadilan sejahtera bebasin pajak kendaraan calon presiden naikan tax ratio pajak dikorbankan menutupi pembebasan pajak kendaraan,partai keadilan sejahtera bebasin pajak kendaraan calon presiden naikan tax ratio pajak dikorbankan menutupi pembebasan pajak kendaraan,partai keadilan sejahtera bebasin pajak kendaraan calon presiden naikan tax ratio pajak dikorbankan menutupi pembebasan pajak kendaraan,partai adil sejahtera bebasin pajak kendara calon presiden naik tax ratio pajak korban tutup bebas pajak kendara,partai adil sejahtera bebasin pajak kendara calon presiden naik tax ratio pajak korban tutup bebas pajak kendara ,"['partai', 'adil', 'sejahtera', 'bebasin', 'pajak', 'kendara', 'calon', 'presiden', 'naik', 'tax', 'ratio', 'pajak', 'korban', 'tutup', 'bebas', 'pajak', 'kendara']"
negatif,Mebeeel piyeeee paak.. sepiii raaa? Prabowo menang mebelmu.. mebelku.. kabeh pedagang mebeel rameee dagangane.. ekonomine apik.. wong do tukuu penak.. dodolan mebel jaman jokowii ngeluu siraah.. jaman SBY jooss gandooss...,Mebeeel piyeeee paak.. sepiii raaa? Prabowo menang mebelmu.. mebelku.. kabeh pedagang mebeel rameee dagangane.. ekonomine apik.. wong do tukuu penak.. dodolan mebel jaman jokowii ngeluu siraah.. jaman SBY jooss gandooss...,,Mebeeel piyeeee paak.. sepiii raaa? Prabowo menang mebelmu.. mebelku.. kabeh pedagang mebeel rameee dagangane.. ekonomine apik.. wong do tukuu penak.. dodolan mebel jaman jokowii ngeluu siraah.. jaman SBY jooss gandooss...,Mebeeel piyeeee paak.. sepiii raaa? Prabowo menang mebelmu.. mebelku.. kabeh pedagang mebeel rameee dagangane.. ekonomine apik.. wong do tukuu penak.. dodolan mebel jaman jokowii ngeluu siraah.. jaman SBY jooss gandooss...,Mebeeel piyeeee paak   sepiii raaa  Prabowo menang mebelmu   mebelku   kabeh pedagang mebeel rameee dagangane   ekonomine apik   wong do tukuu penak   dodolan mebel jaman jokowii ngeluu siraah   jaman SBY jooss gandooss   ,Mebeeel piyeeee paak   sepiii raaa  Prabowo menang mebelmu   mebelku   kabeh pedagang mebeel rameee dagangane   ekonomine apik   wong do tukuu penak   dodolan mebel jaman jokowii ngeluu siraah   jaman SBY jooss gandooss   ,mebeeel piyeeee paak   sepiii raaa  prabowo menang mebelmu   mebelku   kabeh pedagang mebeel rameee dagangane   ekonomine apik   wong do tukuu penak   dodolan mebel jaman jokowii ngeluu siraah   jaman sby jooss gandooss   ,mebeeel piyeeee pak   sepiii raaa  prabowo menang mebelmu   mebelku   semua pedagang mebeel rameee dagangane   ekonomine apik   orang do tukuu penak   dodolan mebel jaman jokowi ngeluu siraah   jaman susilo bambang yudhoyono jooss gandooss   ,mebeeel piyeeee sepiii raaa prabowo menang mebelmu mebelku pedagang mebeel rameee dagangane ekonomine apik orang do tukuu penak dodolan mebel jaman jokowi ngeluu siraah jaman susilo bambang yudhoyono jooss gandooss,mebeeel piyeeee sepiii raaa prabowo menang mebelmu mebelku pedagang mebeel rameee dagangane ekonomine apik orang do tukuu penak dodolan mebel jaman jokowi ngeluu siraah jaman susilo bambang yudhoyono jooss gandooss,mebeeel piyeeee sepiii raaa prabowo menang mebelmu mebelku pedagang mebeel rameee dagangane ekonomine apik orang do tukuu penak dodolan mebel jaman jokowi ngeluu siraah jaman susilo bambang yudhoyono jooss gandooss,mebeeel piyeeee sepi raaa prabowo menang mebel mebel dagang mebeel rameee dagangane ekonomine apik orang do tukuu penak dodol mebel jaman jokowi ngeluu siraah jaman susilo bambang yudhoyono jooss gandooss,mebeeel piyeeee sepi raaa prabowo menang mebel mebel dagang mebeel rameee dagangane ekonomine apik orang do tukuu penak dodol mebel jaman jokowi ngeluu siraah jaman susilo bambang yudhoyono jooss gandooss ,"['mebeeel', 'piyeeee', 'sepi', 'raaa', 'prabowo', 'menang', 'mebel', 'mebel', 'dagang', 'mebeel', 'rameee', 'dagangane', 'ekonomine', 'apik', 'orang', 'do', 'tukuu', 'penak', 'dodol', 'mebel', 'jaman', 'jokowi', 'ngeluu', 'siraah', 'jaman', 'susilo', 'bambang', 'yudhoyono', 'jooss', 'gandooss']"
netral,"Sandi Janji Tak Ambil Gaji, Prabowo: Kita Ingin Mengabdi -  http://siaga.id/2019/04/sandi-janji-tak-ambil-gaji-prabowo-kita-ingin-mengabdi/👍 pic.twitter.com/DB6pP0AhzB","Sandi Janji Tak Ambil Gaji, Prabowo: Kita Ingin Mengabdi -  http://siaga.id/2019/04/sandi-janji-tak-ambil-gaji-prabowo-kita-ingin-mengabdi/ pic.twitter.com/DB6pP0AhzB",,"Sandi Janji Tak Ambil Gaji, Prabowo: Kita Ingin Mengabdi -  👍 ","Sandi Janji Tak Ambil Gaji, Prabowo: Kita Ingin Mengabdi   👍 ",Sandi Janji Tak Ambil Gaji  Prabowo  Kita Ingin Mengabdi     ,Sandi Janji Tak Ambil Gaji  Prabowo  Kita Ingin Mengabdi     ,sandi janji tak ambil gaji  prabowo  kita ingin mengabdi     ,sandiaga janji tidak ambil gaji  prabowo  kita ingin mengabdi     ,sandiaga janji tidak ambil gaji prabowo mengabdi,sandiaga janji tidak ambil gaji prabowo mengabdi,sandiaga janji tidak ambil gaji prabowo mengabdi,sandiaga janji tidak ambil gaji prabowo abdi,sandiaga janji tidak ambil gaji prabowo abdi ,"['sandiaga', 'janji', 'tidak', 'ambil', 'gaji', 'prabowo', 'abdi']"
netral,"Menang Pilpres 2019, Prabowo-Sandi Janji Tak Ambil Gaji  #17AprilPrabowoPresidenRI https://bisnis.tempo.co/read/1195559/menang-pilpres-2019-prabowo-sandi-janji-tak-ambil-gaji?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit👍","Menang Pilpres 2019, Prabowo-Sandi Janji Tak Ambil Gaji  #17AprilPrabowoPresidenRI https://bisnis.tempo.co/read/1195559/menang-pilpres-2019-prabowo-sandi-janji-tak-ambil-gaji?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit",,"Menang Pilpres 2019, Prabowo-Sandi Janji Tak Ambil Gaji   👍","Menang Pilpres 2019, PrabowoSandi Janji Tak Ambil Gaji   👍",Menang Pilpres 2019  PrabowoSandi Janji Tak Ambil Gaji    ,Menang Pilpres 2019  PrabowoSandi Janji Tak Ambil Gaji    ,menang pilpres 2019  prabowosandi janji tak ambil gaji    ,menang pemilihan presiden 2019  prabowo sandiaga janji tidak ambil gaji    ,menang pemilihan presiden 2019 prabowo sandiaga janji tidak ambil gaji,menang pemilihan presiden 2019 prabowo sandiaga janji tidak ambil gaji,menang pemilihan presiden 2019 prabowo sandiaga janji tidak ambil gaji,menang pilih presiden 2019 prabowo sandiaga janji tidak ambil gaji,menang pilih presiden 2019 prabowo sandiaga janji tidak ambil gaji ,"['menang', 'pilih', 'presiden', '2019', 'prabowo', 'sandiaga', 'janji', 'tidak', 'ambil', 'gaji']"
negatif,Prabowo bahas ekonomi negara ehh Si Jae malah bahas mobel lejen Suka sedih akutu ): #TusukPrabowoSandi,Prabowo bahas ekonomi negara ehh Si Jae malah bahas mobel lejen Suka sedih akutu ): #TusukPrabowoSandi,,Prabowo bahas ekonomi negara ehh Si Jae malah bahas mobel lejen Suka sedih akutu ): ,Prabowo bahas ekonomi negara ehh Si Jae malah bahas mobel lejen Suka sedih akutu ): ,Prabowo bahas ekonomi negara ehh Si Jae malah bahas mobel lejen Suka sedih akutu    ,Prabowo bahas ekonomi negara ehh Si Jae malah bahas mobel lejen Suka sedih akutu    ,prabowo bahas ekonomi negara ehh si jae malah bahas mobel lejen suka sedih akutu    ,prabowo bahas ekonomi negara eh sih jokowi bahkan bahas mobil legend suka sedih aku itu    ,prabowo bahas ekonomi negara jokowi bahas mobil legend suka sedih,prabowo bahas ekonomi negara jokowi bahas mobil legend suka sedih,prabowo bahas ekonomi negara jokowi bahas mobil legend suka sedih,prabowo bahas ekonomi negara jokowi bahas mobil legend suka sedih,prabowo bahas ekonomi negara jokowi bahas mobil legend suka sedih ,"['prabowo', 'bahas', 'ekonomi', 'negara', 'jokowi', 'bahas', 'mobil', 'legend', 'suka', 'sedih']"
negatif,"Exactly the same, keluargaku juga bilang gaji gak bakal di naikin lagi buat pns kalo jokowi lagi. Sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka, tanpa memikirkan bahwa di Indonesia bukan cuma ada pns. Lalu memakai kata kata ""rakyat Indonesia"".","Exactly the same, keluargaku juga bilang gaji gak bakal di naikin lagi buat pns kalo jokowi lagi. Sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka, tanpa memikirkan bahwa di Indonesia bukan cuma ada pns. Lalu memakai kata kata ""rakyat Indonesia"".",,"Exactly the same, keluargaku juga bilang gaji gak bakal di naikin lagi buat pns kalo jokowi lagi. Sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka, tanpa memikirkan bahwa di Indonesia bukan cuma ada pns. Lalu memakai kata kata ""rakyat Indonesia"".","Exactly the same, keluargaku juga bilang gaji gak bakal di naikin lagi buat pns kalo jokowi lagi. Sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka, tanpa memikirkan bahwa di Indonesia bukan cuma ada pns. Lalu memakai kata kata ""rakyat Indonesia"".",Exactly the same  keluargaku juga bilang gaji gak bakal di naikin lagi buat pns kalo jokowi lagi  Sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka  tanpa memikirkan bahwa di Indonesia bukan cuma ada pns  Lalu memakai kata kata  rakyat Indonesia  ,Exactly the same  keluargaku juga bilang gaji gak bakal di naikin lagi buat pns kalo jokowi lagi  Sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka  tanpa memikirkan bahwa di Indonesia bukan cuma ada pns  Lalu memakai kata kata  rakyat Indonesia  ,exactly the same  keluargaku juga bilang gaji gak bakal di naikin lagi buat pns kalo jokowi lagi  sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka  tanpa memikirkan bahwa di indonesia bukan cuma ada pns  lalu memakai kata kata  rakyat indonesia  ,exactly the sama  keluargaku juga bilang gaji tidak bakal di naikan lagi buat pegawai negeri sipil kalau jokowi lagi  sesungguhnya mereka cuma memikirkan diri sendiri dan hidup mereka  tanpa memikirkan bahwa di indonesia bukan cuma ada pegawai negeri sipil  lalu memakai kata kata  rakyat indonesia  ,exactly the keluargaku bilang gaji tidak naikan pegawai negeri sipil jokowi sesungguhnya memikirkan hidup tanpa memikirkan indonesia bukan pegawai negeri sipil memakai rakyat indonesia,exactly the keluargaku bilang gaji tidak naikan pegawai negeri sipil jokowi sesungguhnya memikirkan hidup tanpa memikirkan indonesia bukan pegawai negeri sipil memakai rakyat indonesia,exactly the keluargaku bilang gaji tidak naikan pegawai negeri sipil jokowi sesungguhnya memikirkan hidup tanpa memikirkan indonesia bukan pegawai negeri sipil memakai rakyat indonesia,exactly the keluarga bilang gaji tidak naik pegawai negeri sipil jokowi sungguh pikir hidup tanpa pikir indonesia bukan pegawai negeri sipil pakai rakyat indonesia,exactly the keluarga bilang gaji tidak naik pegawai negeri sipil jokowi sungguh pikir hidup tanpa pikir indonesia bukan pegawai negeri sipil pakai rakyat indonesia ,"['exactly', 'the', 'keluarga', 'bilang', 'gaji', 'tidak', 'naik', 'pegawai', 'negeri', 'sipil', 'jokowi', 'sungguh', 'pikir', 'hidup', 'tanpa', 'pikir', 'indonesia', 'bukan', 'pegawai', 'negeri', 'sipil', 'pakai', 'rakyat', 'indonesia']"
negatif,Perekonomian hancur gara2 presiden2 terdahulu bukan salah pak pak @jokowi #PrabowoSalahkanSBY pic.twitter.com/VIk1bqUmVb,Perekonomian hancur gara2 presiden2 terdahulu bukan salah pak pak @jokowi #PrabowoSalahkanSBY pic.twitter.com/VIk1bqUmVb,,Perekonomian hancur gara2 presiden2 terdahulu bukan salah pak pak jokowi  ,Perekonomian hancur gara2 presiden2 terdahulu bukan salah pak pak jokowi  ,Perekonomian hancur gara2 presiden2 terdahulu bukan salah pak pak jokowi  ,Perekonomian hancur gara2 presiden2 terdahulu bukan salah pak pak jokowi  ,perekonomian hancur gara2 presiden2 terdahulu bukan salah pak pak jokowi  ,perekonomian hancur gara gara presiden terdahulu bukan salah pak pak jokowi  ,perekonomian hancur gara gara presiden bukan salah jokowi,perekonomian hancur gara gara presiden bukan salah jokowi,perekonomian hancur gara gara presiden bukan salah jokowi,ekonomi hancur gara gara presiden bukan salah jokowi,ekonomi hancur gara gara presiden bukan salah jokowi ,"['ekonomi', 'hancur', 'gara', 'gara', 'presiden', 'bukan', 'salah', 'jokowi']"
